2015-11-27 18:40:45,380 max_depth = 6, eta = 0.2, gamma = 0
2015-11-27 19:00:29,948      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
20         2.003662       0.008277         1.978157        0.005636
21         1.990780       0.008445         1.964273        0.005896
22         1.979254       0.009595         1.951607        0.004709
23         1.968358       0.010176         1.939875        0.004081
24         1.959227       0.010259         1.929878        0.004118
25         1.949744       0.009727         1.919578        0.004703
26         1.941304       0.008750         1.909935        0.005655
27         1.933076       0.008751         1.901166        0.005579
28         1.926224       0.009211         1.893151        0.004883
29         1.919281       0.008883         1.885209        0.005081
..              ...            ...              ...             ...
769        1.647502       0.007419         1.327348        0.000843
770        1.647362       0.007498         1.326818        0.000710
771        1.647308       0.007519         1.326512        0.000685
772        1.647242       0.007583         1.326144        0.000604
773        1.647202       0.007545         1.325884        0.000673
774        1.647162       0.007562         1.325660        0.000703
775        1.647139       0.007578         1.325473        0.000662
776        1.647098       0.007564         1.325265        0.000655
777        1.647096       0.007559         1.325075        0.000611
778        1.647096       0.007571         1.324890        0.000585
779        1.647110       0.007547         1.324624        0.000552
780        1.647078       0.007516         1.324380        0.000599
781        1.647057       0.007497         1.324157        0.000565
782        1.647030       0.007497         1.323944        0.000573
783        1.647030       0.007490         1.323660        0.000640
784        1.647006       0.007482         1.323432        0.000691
785        1.646984       0.007510         1.323181        0.000770
786        1.646923       0.007522         1.322813        0.000731
787        1.646876       0.007505         1.322594        0.000731
788        1.646875       0.007518         1.322315        0.000739
789        1.646877       0.007523         1.322112        0.000768
790        1.646900       0.007512         1.321654        0.000745
791        1.646890       0.007524         1.321412        0.000809
792        1.646880       0.007523         1.321255        0.000840
793        1.646847       0.007477         1.321021        0.000856
794        1.646846       0.007472         1.320819        0.000831
795        1.646591       0.007434         1.320129        0.000869
796        1.646581       0.007428         1.319892        0.000897
797        1.646556       0.007461         1.319701        0.000888
798        1.646532       0.007477         1.319494        0.000878

[799 rows x 4 columns]
2015-11-27 20:01:46,674 max_depth = 6, eta = 0.15, gamma = 1
2015-11-27 20:26:54,088      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.417072       0.005521         6.416107        0.002341
1          5.581541       0.004919         5.580061        0.001583
2          4.887681       0.003976         4.885605        0.000962
3          4.315076       0.003560         4.312283        0.001027
4          3.845279       0.002414         3.840875        0.002101
5          3.461896       0.002986         3.456505        0.003382
6          3.152477       0.004510         3.145671        0.002421
7          2.904890       0.005194         2.896552        0.003443
8          2.706532       0.005080         2.696795        0.003407
9          2.551333       0.005396         2.539918        0.003945
10         2.429448       0.007398         2.416452        0.002767
11         2.332586       0.007398         2.318231        0.003769
12         2.258078       0.006997         2.242664        0.004791
13         2.199507       0.007523         2.182812        0.004764
14         2.150759       0.008150         2.132584        0.005168
15         2.113230       0.008790         2.093746        0.005149
16         2.082497       0.008421         2.062234        0.006040
17         2.056515       0.008259         2.034663        0.005749
18         2.036154       0.007934         2.013004        0.006127
19         2.019190       0.007675         1.995110        0.006595
20         2.003808       0.008083         1.978714        0.006302
21         1.990829       0.008381         1.964556        0.006211
22         1.979891       0.008765         1.952434        0.005627
23         1.968898       0.009522         1.940671        0.005087
24         1.959719       0.009693         1.930576        0.005037
25         1.950624       0.008629         1.920411        0.005669
26         1.942026       0.007827         1.910547        0.006341
27         1.933612       0.008082         1.901514        0.005928
28         1.927227       0.007952         1.893865        0.005719
29         1.920531       0.007536         1.886557        0.006094
..              ...            ...              ...             ...
769        1.646691       0.007450         1.327075        0.004648
770        1.646706       0.007468         1.326845        0.004648
771        1.646684       0.007467         1.326682        0.004651
772        1.646654       0.007477         1.326433        0.004623
773        1.646596       0.007491         1.326246        0.004604
774        1.646539       0.007512         1.325973        0.004661
775        1.646499       0.007505         1.325826        0.004683
776        1.646490       0.007520         1.325642        0.004628
777        1.646493       0.007531         1.325379        0.004640
778        1.646446       0.007457         1.325121        0.004725
779        1.646397       0.007476         1.324905        0.004804
780        1.646363       0.007474         1.324734        0.004844
781        1.646312       0.007441         1.324558        0.004898
782        1.646278       0.007433         1.324329        0.004952
783        1.646266       0.007438         1.324110        0.004879
784        1.646229       0.007442         1.323890        0.004913
785        1.646236       0.007448         1.323620        0.004959
786        1.646164       0.007450         1.323343        0.004996
787        1.646161       0.007476         1.323107        0.005031
788        1.645854       0.007063         1.322364        0.005519
789        1.645837       0.007030         1.322194        0.005523
790        1.645808       0.007047         1.321989        0.005550
791        1.645704       0.007058         1.321692        0.005609
792        1.645699       0.007093         1.321417        0.005730
793        1.645658       0.007099         1.321153        0.005768
794        1.645658       0.007075         1.320917        0.005812
795        1.645653       0.007086         1.320731        0.005824
796        1.645638       0.007096         1.320526        0.005835
797        1.645649       0.007091         1.320349        0.005863
798        1.645610       0.007081         1.320158        0.005913

[799 rows x 4 columns]
2015-11-27 20:26:54,104 max_depth = 6, eta = 0.15, gamma = 2
2015-11-27 20:53:24,916      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.417072       0.005521         6.416108        0.002341
1          5.581535       0.004919         5.580062        0.001583
2          4.887676       0.003976         4.885606        0.000963
3          4.315068       0.003562         4.312285        0.001027
4          3.845269       0.002417         3.840878        0.002101
5          3.461872       0.002996         3.456507        0.003380
6          3.152451       0.004540         3.145676        0.002421
7          2.904865       0.005227         2.896559        0.003444
8          2.706523       0.005092         2.696788        0.003391
9          2.551330       0.005399         2.539921        0.003927
10         2.429449       0.007396         2.416443        0.002745
11         2.332591       0.007394         2.318232        0.003751
12         2.258082       0.006990         2.242664        0.004775
13         2.199520       0.007506         2.182819        0.004754
14         2.150763       0.008135         2.132586        0.005154
15         2.113236       0.008772         2.093750        0.005135
16         2.082503       0.008399         2.062236        0.006024
17         2.056514       0.008254         2.034660        0.005714
18         2.036153       0.007925         2.012998        0.006093
19         2.019186       0.007672         1.995105        0.006564
20         2.003797       0.008085         1.978711        0.006270
21         1.990814       0.008366         1.964557        0.006175
22         1.979878       0.008743         1.952438        0.005593
23         1.969028       0.009327         1.940763        0.005166
24         1.958840       0.010687         1.929794        0.003937
25         1.949832       0.009603         1.919841        0.004936
26         1.940913       0.009261         1.909639        0.005258
27         1.933176       0.008774         1.901397        0.005728
28         1.926505       0.008966         1.893569        0.005326
29         1.919896       0.008589         1.885780        0.005909
..              ...            ...              ...             ...
769        1.647275       0.008024         1.329991        0.004639
770        1.647257       0.008042         1.329767        0.004620
771        1.647231       0.008047         1.329548        0.004633
772        1.647238       0.008090         1.329315        0.004681
773        1.647212       0.008138         1.329137        0.004667
774        1.647144       0.008180         1.328842        0.004542
775        1.647098       0.008145         1.328639        0.004577
776        1.647075       0.008151         1.328432        0.004550
777        1.647064       0.008143         1.328243        0.004565
778        1.646945       0.008220         1.327727        0.004158
779        1.646919       0.008225         1.327478        0.004143
780        1.646895       0.008272         1.327277        0.004159
781        1.646871       0.008274         1.327075        0.004167
782        1.646862       0.008301         1.326828        0.004221
783        1.646785       0.008238         1.326498        0.004261
784        1.646763       0.008208         1.326288        0.004220
785        1.646677       0.008245         1.325901        0.004231
786        1.646626       0.008237         1.325648        0.004250
787        1.646594       0.008253         1.325419        0.004244
788        1.646573       0.008229         1.325174        0.004280
789        1.646525       0.008197         1.324859        0.004386
790        1.646522       0.008190         1.324634        0.004401
791        1.646501       0.008244         1.324322        0.004389
792        1.646458       0.008250         1.324171        0.004394
793        1.646451       0.008241         1.324026        0.004384
794        1.646419       0.008231         1.323788        0.004391
795        1.646392       0.008184         1.323524        0.004394
796        1.646369       0.008172         1.323259        0.004443
797        1.646329       0.008173         1.323039        0.004511
798        1.646297       0.008154         1.322792        0.004465

[799 rows x 4 columns]
2015-11-27 20:53:24,936 max_depth = 6, eta = 0.1, gamma = 0
2015-11-27 21:33:18,188       test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0           6.748183       0.005635         6.747723        0.002411
1           6.152596       0.005137         6.151695        0.002144
2           5.623062       0.004609         5.621923        0.001670
3           5.153557       0.004337         5.152188        0.001379
4           4.738420       0.004041         4.736418        0.001168
5           4.372429       0.003416         4.369735        0.001262
6           4.049563       0.002516         4.045988        0.001842
7           3.766236       0.002429         3.761399        0.001972
8           3.518363       0.003356         3.512497        0.001527
9           3.302342       0.003657         3.295560        0.001851
10          3.114664       0.004514         3.107067        0.001971
11          2.952630       0.004701         2.943574        0.002417
12          2.812463       0.004574         2.802514        0.003196
13          2.691558       0.005369         2.680448        0.003349
14          2.588309       0.005871         2.576101        0.004056
15          2.499657       0.006725         2.486744        0.003329
16          2.422892       0.006903         2.408982        0.003631
17          2.358975       0.007116         2.343747        0.004030
18          2.303948       0.007910         2.287535        0.004151
19          2.257278       0.008454         2.240046        0.004131
20          2.217898       0.008312         2.199470        0.004684
21          2.182068       0.008328         2.162857        0.004542
22          2.151095       0.008845         2.131050        0.004331
23          2.125166       0.008809         2.103874        0.004247
24          2.103002       0.008944         2.080674        0.004944
25          2.083753       0.009105         2.060795        0.004961
26          2.067019       0.009402         2.043336        0.004898
27          2.051831       0.009679         2.027440        0.004771
28          2.037895       0.009813         2.012710        0.004206
29          2.025221       0.010542         1.999503        0.004060
...              ...            ...              ...             ...
1169        1.642881       0.007875         1.320487        0.003029
1170        1.642894       0.007886         1.320338        0.003023
1171        1.642898       0.007892         1.320192        0.003035
1172        1.642875       0.007876         1.320008        0.002975
1173        1.642858       0.007866         1.319805        0.002946
1174        1.642823       0.007877         1.319678        0.002964
1175        1.642757       0.007907         1.319425        0.003003
1176        1.642736       0.007900         1.319292        0.002965
1177        1.642619       0.007771         1.318927        0.003109
1178        1.642595       0.007785         1.318734        0.003182
1179        1.642580       0.007799         1.318585        0.003174
1180        1.642576       0.007788         1.318469        0.003169
1181        1.642573       0.007762         1.318348        0.003180
1182        1.642580       0.007767         1.318184        0.003166
1183        1.642572       0.007766         1.318039        0.003209
1184        1.642565       0.007757         1.317882        0.003206
1185        1.642553       0.007785         1.317752        0.003224
1186        1.642533       0.007768         1.317609        0.003254
1187        1.642520       0.007769         1.317484        0.003254
1188        1.642463       0.007760         1.317293        0.003189
1189        1.642418       0.007843         1.317062        0.003220
1190        1.642403       0.007839         1.316945        0.003213
1191        1.642388       0.007822         1.316816        0.003229
1192        1.642384       0.007823         1.316703        0.003238
1193        1.642385       0.007837         1.316572        0.003216
1194        1.642314       0.007836         1.316274        0.003034
1195        1.642314       0.007846         1.316136        0.003017
1196        1.642305       0.007872         1.316004        0.003013
1197        1.642265       0.007890         1.315807        0.003008
1198        1.642278       0.007884         1.315650        0.003001

[1199 rows x 4 columns]
2015-11-27 21:33:18,204 max_depth = 6, eta = 0.1, gamma = 1
2015-11-27 22:14:32,661       test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0           6.748183       0.005635         6.747723        0.002411
1           6.152598       0.005136         6.151695        0.002144
2           5.623063       0.004608         5.621923        0.001670
3           5.153559       0.004335         5.152189        0.001379
4           4.738421       0.004039         4.736419        0.001169
5           4.372429       0.003413         4.369735        0.001262
6           4.049563       0.002513         4.045988        0.001843
7           3.766238       0.002421         3.761401        0.001972
8           3.518367       0.003341         3.512499        0.001529
9           3.302330       0.003660         3.295564        0.001851
10          3.114655       0.004516         3.107073        0.001972
11          2.952629       0.004728         2.943583        0.002413
12          2.812464       0.004606         2.802523        0.003190
13          2.691561       0.005397         2.680463        0.003349
14          2.588317       0.005895         2.576117        0.004056
15          2.499664       0.006750         2.486759        0.003327
16          2.422877       0.006911         2.408994        0.003623
17          2.358984       0.007098         2.343764        0.004025
18          2.303435       0.007449         2.286971        0.004993
19          2.256881       0.007907         2.239472        0.005030
20          2.216283       0.009351         2.197708        0.004936
21          2.180991       0.008571         2.161546        0.004854
22          2.151578       0.008406         2.131386        0.004762
23          2.125652       0.008286         2.104162        0.004647
24          2.103633       0.008631         2.081205        0.004596
25          2.084413       0.009041         2.061123        0.004481
26          2.067246       0.008715         2.043254        0.005236
27          2.051863       0.008701         2.027306        0.005248
28          2.037955       0.008846         2.012820        0.004864
29          2.025428       0.010026         1.999422        0.004450
...              ...            ...              ...             ...
1169        1.640758       0.007877         1.322084        0.003577
1170        1.640735       0.007871         1.321934        0.003600
1171        1.640728       0.007857         1.321831        0.003603
1172        1.640744       0.007874         1.321705        0.003606
1173        1.640732       0.007867         1.321562        0.003608
1174        1.640733       0.007863         1.321388        0.003591
1175        1.640747       0.007880         1.321267        0.003583
1176        1.640726       0.007858         1.321105        0.003620
1177        1.640723       0.007860         1.320969        0.003599
1178        1.640682       0.007871         1.320804        0.003561
1179        1.640663       0.007867         1.320672        0.003560
1180        1.640656       0.007884         1.320471        0.003576
1181        1.640550       0.007966         1.320200        0.003517
1182        1.640484       0.007946         1.319939        0.003599
1183        1.640457       0.007947         1.319820        0.003598
1184        1.640448       0.007940         1.319662        0.003657
1185        1.640459       0.007953         1.319542        0.003670
1186        1.640451       0.007946         1.319405        0.003709
1187        1.640440       0.007956         1.319248        0.003680
1188        1.640436       0.007936         1.319119        0.003705
1189        1.640422       0.007952         1.318965        0.003708
1190        1.640425       0.007957         1.318823        0.003713
1191        1.640416       0.007958         1.318711        0.003715
1192        1.640392       0.007946         1.318591        0.003697
1193        1.640383       0.007959         1.318386        0.003673
1194        1.640359       0.007938         1.318238        0.003686
1195        1.640337       0.007948         1.318079        0.003667
1196        1.640301       0.007923         1.317945        0.003651
1197        1.640278       0.007912         1.317826        0.003631
1198        1.640258       0.007885         1.317613        0.003618

[1199 rows x 4 columns]
2015-11-27 22:14:32,685 max_depth = 6, eta = 0.1, gamma = 2
2015-11-27 22:54:17,149       test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0           6.748183       0.005635         6.747723        0.002411
1           6.152595       0.005135         6.151696        0.002144
2           5.623059       0.004606         5.621924        0.001671
3           5.153554       0.004334         5.152190        0.001379
4           4.738422       0.004030         4.736416        0.001166
5           4.372423       0.003409         4.369734        0.001261
6           4.049555       0.002508         4.045987        0.001842
7           3.766231       0.002423         3.761400        0.001975
8           3.518359       0.003351         3.512503        0.001531
9           3.302323       0.003671         3.295564        0.001856
10          3.114704       0.004458         3.107096        0.002002
11          2.952397       0.005061         2.943438        0.002240
12          2.812296       0.004852         2.802469        0.003128
13          2.691455       0.005559         2.680526        0.003426
14          2.588143       0.006156         2.576172        0.004082
15          2.500022       0.006262         2.487321        0.003915
16          2.423207       0.006459         2.409474        0.004163
17          2.359129       0.006910         2.344194        0.004482
18          2.304025       0.006618         2.287673        0.005614
19          2.256943       0.007824         2.239585        0.005117
20          2.216862       0.008534         2.198332        0.005298
21          2.181629       0.007684         2.162214        0.005449
22          2.151751       0.008167         2.131452        0.004823
23          2.125812       0.008069         2.104565        0.005056
24          2.103571       0.008718         2.081332        0.004706
25          2.083888       0.009757         2.061027        0.004406
26          2.066672       0.009504         2.043144        0.005151
27          2.051502       0.009187         2.027371        0.005301
28          2.037445       0.009526         2.012298        0.004394
29          2.025764       0.009554         1.999830        0.004766
...              ...            ...              ...             ...
1169        1.641490       0.007964         1.323038        0.002024
1170        1.641472       0.007952         1.322916        0.002022
1171        1.641435       0.007954         1.322744        0.002054
1172        1.641429       0.007951         1.322638        0.002061
1173        1.641408       0.007974         1.322498        0.002041
1174        1.641383       0.007954         1.322359        0.002021
1175        1.641377       0.007957         1.322233        0.001991
1176        1.641343       0.007953         1.322061        0.001949
1177        1.641328       0.007944         1.321959        0.001943
1178        1.641307       0.007939         1.321827        0.001925
1179        1.641217       0.007988         1.321544        0.001910
1180        1.641167       0.007976         1.321359        0.001910
1181        1.641152       0.007982         1.321234        0.001899
1182        1.641153       0.008009         1.321114        0.001884
1183        1.641123       0.008002         1.320977        0.001838
1184        1.641116       0.008022         1.320834        0.001851
1185        1.641025       0.008075         1.320585        0.001856
1186        1.641000       0.008057         1.320437        0.001847
1187        1.640953       0.008105         1.320210        0.001879
1188        1.640946       0.008096         1.320064        0.001864
1189        1.640910       0.008077         1.319934        0.001867
1190        1.640865       0.008071         1.319634        0.001690
1191        1.640854       0.008053         1.319500        0.001683
1192        1.640773       0.008091         1.319193        0.001720
1193        1.640728       0.008078         1.318965        0.001783
1194        1.640708       0.008096         1.318837        0.001831
1195        1.640678       0.008086         1.318676        0.001829
1196        1.640642       0.008069         1.318534        0.001853
1197        1.640587       0.008024         1.318323        0.001938
1198        1.640574       0.008053         1.318163        0.001904

[1199 rows x 4 columns]
2015-11-27 22:54:17,169 max_depth = 6, eta = 0.05, gamma = 0
2015-11-28 00:14:17,005       test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0           7.081893       0.006007         7.081389        0.002828
1           6.764947       0.005669         6.764422        0.002323
2           6.465202       0.005393         6.464621        0.002364
3           6.182059       0.005232         6.181259        0.002255
4           5.914642       0.005016         5.913561        0.002005
5           5.662352       0.004707         5.661107        0.001833
6           5.424395       0.004572         5.423129        0.001495
7           5.199988       0.004323         5.198450        0.001522
8           4.988627       0.003995         4.986847        0.001288
9           4.789824       0.003838         4.787622        0.001180
10          4.602472       0.003576         4.599951        0.001031
11          4.426426       0.003428         4.423440        0.001237
12          4.260510       0.003072         4.257284        0.001262
13          4.104955       0.003062         4.101169        0.001588
14          3.958729       0.002929         3.954649        0.001542
15          3.821556       0.003101         3.817127        0.001958
16          3.692761       0.003032         3.688174        0.002031
17          3.572591       0.003121         3.567561        0.002256
18          3.460155       0.003402         3.454512        0.002573
19          3.354868       0.003721         3.348810        0.002593
20          3.256755       0.003793         3.250286        0.002781
21          3.164602       0.003594         3.157481        0.003250
22          3.079056       0.003635         3.071529        0.003136
23          2.999089       0.003958         2.990984        0.003323
24          2.924881       0.003986         2.916062        0.003403
25          2.855867       0.004248         2.846353        0.003663
26          2.791554       0.004241         2.781651        0.003749
27          2.731725       0.004560         2.721273        0.004004
28          2.676440       0.004947         2.665270        0.004295
29          2.624871       0.005206         2.613102        0.004185
...              ...            ...              ...             ...
2369        1.636187       0.008303         1.317515        0.004226
